sample,label,Methy_A1BG,Methy_A2BP1,Methy_A2M
GSM2139346,0,2.664215436,0.413320833,0.910640632
GSM2139347,0,2.815644265,0.349166898,0.92000864
GSM2139348,0,2.417677077,1.035603883,-0.138127115
GSM2139349,1,2.374389345,0.059768747,0.656024199
GSM2139350,1,2.212632035,0.093212286,0.529637746
GSM2139351,1,2.506967105,0.131193064,0.754289252
GSM2139352,1,2.559991866,0.331071626,0.538357882
GSM2139353,0,2.40579829,0.27643319,0.87596849
GSM2139354,0,2.605736991,0.231152757,1.174484312
GSM2139355,1,2.668253492,0.102459087,0.921626765
GSM2139356,1,2.575797647,0.556584618,1.222540883
GSM2139357,1,2.710050225,0.46262219,1.1847165
GSM2139358,0,2.663932377,0.372320711,0.835437347
GSM2139359,1,2.968529921,0.394765661,1.644506056
GSM2139360,1,2.870284552,0.382172411,1.074285783
GSM2139361,1,2.693495782,0.221502161,0.896497234
GSM2139362,0,2.480229278,0.443806038,1.194264929
GSM2139363,0,2.625268501,0.489249232,0.971380276
GSM2139364,1,2.551733616,0.469456817,1.102635503
GSM2139365,0,2.385688274,0.403455447,1.032976331
GSM2139366,0,2.750776571,0.339853117,1.026815402
GSM2139367,1,2.662922441,0.516928499,0.781371041
GSM2139368,0,2.681048305,0.247051571,0.964367645
GSM2139369,0,2.816331472,0.213687014,1.047961524
GSM2139370,1,2.671300932,0.446470065,1.386258225
GSM2139371,1,2.784787533,0.200174183,1.091557372
GSM2139372,0,2.835812587,0.438655044,0.871381767
GSM2139373,0,2.457699325,0.197566788,0.891975746
GSM2139374,1,2.408411475,0.040065022,1.095467388
GSM2139375,0,2.408478593,0.289203194,0.934481387
GSM2139376,1,2.420944494,0.257080767,0.855692408
GSM2139377,1,2.450798926,0.306931883,1.079337059
GSM2139378,1,2.400897178,0.241133059,0.665095292
GSM2139379,0,2.677004766,0.190637094,1.326067603
GSM2139380,1,2.858441671,0.149194133,1.242000189
GSM2139381,1,2.549022387,0.234794474,0.888477052
GSM2139382,0,2.851612036,-0.056679663,0.90447238
GSM2139383,0,3.400717531,0.066382992,1.258093452
GSM2139412,0,2.782623607,0.413732896,1.194948418
GSM2139413,0,2.57651136,-0.097993035,0.784035825
