sample,label,A1BG,A2BP1,A2M
GSM1423889,1,-0.2271461,0.011165342,-0.2208427
GSM1423890,1,0.021119446,-0.3707168,-0.03678356
GSM1423891,1,-0.021590975,-0.67075595,0.1250245
GSM1423892,1,-0.009243985,-0.44595745,0.2363383
GSM1423893,1,-0.047767675,-0.023691945,-0.1200805
GSM1423894,1,-0.127510165,-0.1502779,0.1811616
GSM1423895,1,-0.05079707,-0.29867755,-0.005140956
GSM1423896,1,-0.033151296,-0.4480071,0.03824684
GSM1423897,1,-0.138792895,-0.7087076,0.1998381
GSM1423898,1,-0.125330565,-0.1546989,0.06894243
GSM1423899,1,-0.043681783,-0.141771545,-0.004917494
GSM1423900,1,-0.046367012,-0.19096975,-0.02302365
GSM1423901,1,-0.063369664,-0.09359567,-0.1701197
GSM1423902,1,-0.016382045,-0.293407,-0.3319345
GSM1423903,1,-0.086361475,-0.3834355,0.04195945
GSM1423904,1,-0.101291745,-0.15451025,0.02992975
GSM1423905,1,-0.025935035,0.16021125,0.05130843
GSM1423906,1,0.052262565,-0.4502031,-0.004276853
GSM1423907,1,-0.06455173,-0.3811224,0.2912363
GSM1423908,1,0.05419198,-0.013764605,-0.06347633
GSM1423909,1,0.05843681,-0.12344497,0.01985719
GSM1423910,1,-0.051415295,-0.102040655,-0.143184
GSM1423911,1,-0.078556915,-0.4954863,0.2234179
GSM1423912,1,0.06426152,-0.59097685,0.392884
GSM1423913,1,-0.086548965,-0.14705548,0.1709537
GSM1423914,1,0.000217445,-0.2927751,0.2874199
GSM1423915,1,-0.04185584,-0.16326965,0.03473273
GSM1423916,1,-0.0362951,-0.5552707,-0.03790798
GSM1423917,1,-0.06864862,-0.3034801,0.06872536
GSM1423918,1,-0.032757075,-0.4087487,-0.1226375
GSM1423919,1,0.024983915,-0.01670451,0.02871159
GSM1423920,1,-0.045351079,0.01162045,-0.0588751
GSM1423921,1,-0.028778345,-0.7982378,0.07860375
GSM1423922,1,-0.08239566,-0.2470423,0.2157278
GSM1423923,1,-0.05780819,-0.29321545,0.2453065
GSM1423924,1,-0.010227125,-0.1886844,0.02791859
GSM1423925,1,-0.037068999,-0.004972615,-0.03866364
GSM1423926,1,-0.042706542,-0.4826305,0.1611189
GSM1423927,1,-0.08893064,-0.2384838,-0.11214
GSM1423928,1,-0.03061721,-0.61434825,0.2837187
GSM1423929,1,0.06862156,-0.2160696,0.08822968
GSM1423930,1,-0.023762225,-0.4317832,-0.009266396
GSM1423931,1,-0.06244111,-0.36881585,-0.0469987
GSM1423932,1,0.005825063,-0.03648717,-0.142611
GSM1423933,1,-0.13197255,-0.24803215,0.1694143
GSM1423934,1,-0.068526915,-0.062816875,-0.1431883
GSM1423935,1,-0.064750019,-0.19560455,0.1436219
GSM1423936,1,0.000354765,-0.08507262,0.1751483
GSM1423937,1,-0.04116295,-0.08075199,-0.09423406
GSM1423938,1,-0.04430218,-0.0620217,-0.06247728
GSM1423939,1,0.071361275,-0.090915735,-0.1690743
GSM1423940,1,-0.047034105,-0.094236665,-0.01422074
GSM1423941,1,-0.005256495,-0.11935166,-0.01851611
GSM1423942,1,-0.047335815,0.030630756,-0.09497308
GSM1423943,1,-0.05435185,-0.04704604,-0.002869789
